"2023-01-05",true,1,3
"2023-01-07",true,2,5
"2023-01-08",false,3,7
"2023-01-10",true,4,2
"2023-01-12",true,5,11
"2023-01-15",true,6,9
"2023-01-18",false,7,4
"2023-01-20",true,8,15
"2023-01-22",true,9,8
"2023-01-25",true,10,12
"2023-01-28",true,11,6
"2023-02-01",true,12,14
"2023-02-03",true,13,1
"2023-02-05",true,14,10
"2023-02-08",true,15,13
"2023-02-10",true,16,17
"2023-02-12",false,17,16
"2023-02-15",true,18,19
"2023-02-18",true,19,18
"2023-02-20",false,20,10
"2023-02-22",true,1,4
"2023-02-25",true,2,6
"2023-02-28",true,3,5
"2023-03-02",true,4,1
"2023-03-05",true,5,12
"2023-03-08",true,6,10
"2023-03-10",false,7,3
"2023-03-12",true,8,14
"2023-03-15",true,9,7
"2023-03-18",true,10,15
