"2023-01-05", "2023-06-05", 42
"2023-01-12", "2023-06-12", 35
"2023-01-18", "2023-06-18", 68
"2023-01-25", "2023-06-25", 53
"2023-02-02", "2023-07-02", 27
"2023-02-09", "2023-07-09", 74
"2023-02-16", "2023-07-16", 39
"2023-02-23", "2023-07-23", 61
"2023-03-02", "2023-08-02", 45
"2023-03-09", "2023-08-09", 58
"2023-03-16", "2023-08-16", 31
"2023-03-23", "2023-08-23", 72
"2023-03-30", "2023-08-30", 49
"2023-04-06", "2023-09-06", 63
"2023-04-13", "2023-09-13", 36
"2023-04-20", "2023-09-20", 54
"2023-04-27", "2023-09-27", 41
"2023-05-04", "2023-10-04", 67
"2023-05-11", "2023-10-11", 29
"2023-05-18", "2023-10-18", 76
"2023-05-25", "2023-10-25", 44
"2023-06-01", "2023-11-01", 59
"2023-06-08", "2023-11-08", 33
"2023-06-15", "2023-11-15", 70
"2023-06-22", "2023-11-22", 47
"2023-06-29", "2023-11-29", 64
"2023-07-06", "2023-12-06", 38
"2023-07-13", "2023-12-13", 55
"2023-07-20", "2023-12-20", 43
"2023-07-27", "2023-12-27", 69
"2023-08-03", "2024-01-03", 52
"2023-08-10", "2024-01-10", 26
"2023-08-17", "2024-01-17", 73
"2023-08-24", "2024-01-24", 37
"2023-08-31", "2024-01-31", 60
"2023-09-07", "2024-02-07", 48
"2023-09-14", "2024-02-14", 65
"2023-09-21", "2024-02-21", 34
"2023-09-28", "2024-02-28", 71
"2023-10-05", "2024-03-05", 46
"2023-10-12", "2024-03-12", 57
"2023-10-19", "2024-03-19", 32
"2023-10-26", "2024-03-26", 75
"2023-11-02", "2024-04-02", 40
"2023-11-09", "2024-04-09", 62
"2023-11-16", "2024-04-16", 51
"2023-11-23", "2024-04-23", 28
"2023-11-30", "2024-04-30", 66
"2023-12-07", "2024-05-07", 56
"2023-12-14", "2024-05-14", 30
