"2023-01-05",1,3
"2023-01-07",2,5
"2023-01-08",3,7
"2023-01-10",4,2
"2023-01-12",5,11
"2023-01-15",6,9
"2023-01-18",7,4
"2023-01-20",8,15
"2023-01-22",9,8
"2023-01-25",10,12
"2023-01-28",11,6
"2023-02-01",12,14
"2023-02-03",13,1
"2023-02-05",14,10
"2023-02-08",15,13
"2023-02-10",16,17
"2023-02-12",17,16
"2023-02-15",18,19
"2023-02-18",19,18
"2023-02-20",20,10
"2023-02-22",1,4
"2023-02-25",2,6
"2023-02-28",3,5
"2023-03-02",4,1
"2023-03-05",5,12
"2023-03-08",6,10
"2023-03-10",7,3
"2023-03-12",8,14
"2023-03-15",9,7
"2023-03-18",10,15
